화면별 필드 유효성 규칙,,,,,,,,
P-001 본인인증,,,,,,,,
P-013,승인 선택,approval,열거형,필수,승인/거절 택1
유효 3분,미선택,"만료되었습니다. 재체크인해주세요",카운트다운 00:00 시
만료 안내 화면 전환
D-002 의사 대시보드,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
D-002,임상 노트,doctor_note,문자열,선택,자유 텍스트,빈 값,—,자동 저장
D-002,문제 편집 목록,problems[],객체[],선택,추가/삭제/순서변경,AI 제안 목록,—,AI 제안 vs 의사 편집 구분 표시
D-003 결과 생성,,,,,,,,
화면,필드명,필드 키,타입,필수,유효성 규칙,기본값,에러 메시지,에러 표시 방식
D-003,쉬운말 텍스트,plain_text,문자열,필수,AI 초안 수정 가능.
확인 전 전송 불가,AI 생성 초안,"진료 결과를 확인해주세요",[확인 및 전송] 비활성
확인 전까지
D-003,의뢰 과,referral_dept,문자열,조건부,타과 필요 시에만,빈 값,"의뢰 진료과를 선택해주세요",드롭다운 인라인
D-003,의뢰 이유,referral_reason,문자열,조건부,타과 필요 시에만,빈 값,"의뢰 이유를 입력해주세요",필드 하단 인라인
D-003,행동 항목,action_items[],문자열[],선택,의사 직접 입력만
AI 자체 제안 금지,빈 배열,—,—
,,,,,,,,
입력 필드 없는 화면 — 유효성 해당 없음,,,,,,,,
화면 ID,화면명,사유,,,,,,
P-010,홈,조회형. 사용자 입력 필드 없음 (CTA 버튼만),,,,,,
P-012,진료 체크인 (QR),QR 스캔만. 코드 폴백 시 P-009 규칙 적용,,,,,,
P-014,세션 상태,조회형. 상태 배지 표시만,,,,,,
P-015,진료 요약,조회형. 결과 표시만,,,,,,
P-016,다음 행동 체크리스트,조회형. 체크/해제만 (의사 입력은 D-003),,,,,,
P-017,타과 안내,조회형,,,,,,
P-018,소견 쉬운말 병기,조회형. 피드백 👍👎만,,,,,,
P-019,설정,[후속] 상세 미정의,,,,,,
D-001,환자 대기열,조회형. 환자 카드 탭만,,,,,,
K-001,접수 데스크,[후속] 쇼케이스,,,,,,
