📁 참고용 — v0.8 원본,,,,,,,
대분류,카테고리 코드,카테고리명 (앱 표시),ICD-11 참조 범위,하위 증상 항목 (환자 선택용),환자 표시 텍스트 예시,MVP 포함,비고
소화기·배,SYM-14,구역질·구토,ME05 (오심·구토),메스꺼움 | 구토 | 헛구역질 | 식후 구토 | 담즙 구토,"속이 울렁거리고 토할 것 같아요",Y,
소화기·배,SYM-15,배변 이상,ME10–ME13,설사 | 변비 | 혈변 | 흑색변 | 점액변 | 배변 시 통증 | 잔변감 | 배변 습관 변화,"설사가 3일째 계속돼요",Y,혈변·흑색변 — 응급 안내 고려
근골격·관절,SYM-16,허리가 아파요,ME82 (요통),허리 통증 | 엉덩이로 퍼지는 통증 | 허리 뻣뻣함 | 숙이면 아픔 | 아침에 심함,"허리가 아프고 뻣뻣해요",Y,
근골격·관절,SYM-17,관절·근육이 아파요,ME80–ME84 (근골격 통증),어깨 통증 | 무릎 통증 | 손목 통증 | 발목 통증 | 목 통증(경추) | 팔꿈치 통증 | 고관절 통증 | 근육통 | 관절 부종 | 관절 뻣뻣함,"무릎이 붓고 구부리기 힘들어요",Y,통증 부위 선택형으로 구성
근골격·관절,SYM-18,손발이 저려요,ME86 (사지 통증·감각 이상),손 저림 | 발 저림 | 쥐남 | 손발 시림 | 손발 화끈거림 | 감각 둔함,"손이 자꾸 저리고 감각이 없어요",Y,
피부,SYM-19,피부가 이상해요,ME60–ME68 (피부 증상),발진 | 두드러기 | 가려움 | 건조함 | 습진 | 여드름 | 물집 | 피부 변색 | 멍 | 상처·궤양 | 피부 갈라짐 | 붓기 | 종기·결절,"온몸이 가렵고 두드러기가 났어요",Y,PPS03 사진 첨부와 연동. 가장 시각 자료가 도움되는 카테고리
피부,SYM-20,탈모·두피 이상,ME66 (모발·두피),탈모 | 두피 가려움 | 두피 각질 | 두피 통증,"머리카락이 많이 빠져요",Y,
비뇨·생식기,SYM-21,소변이 이상해요,MF50–MF54 (비뇨기 증상),소변 자주 | 소변 급함 | 소변 시 통증 | 혈뇨 | 잔뇨감 | 소변 줄어듦 | 야간뇨,"소변을 자주 보고 따끔거려요",Y,
비뇨·생식기,SYM-22,생리·생식기 이상,MF30–MF44 (생식기 증상),생리통 | 생리 불순 | 비정상 출혈 | 분비물 이상 | 하복부 통증 | 성교통,"생리가 불규칙하고 양이 많아요",Y,민감 정보 — 입력 시 프라이버시 안내 고려
신경계,SYM-23,감각·운동 이상,MB40–MB48 (신경학적 증상),두통(SYM-01 참조) | 떨림 | 경련 | 마비·위약감 | 감각 이상 | 보행 장애 | 말하기 어려움 | 의식 변화,"한쪽 팔에 힘이 안 들어가요",Y,급성 편측 마비 — 뇌졸중 응급 안내 필수
정신·수면,SYM-24,잠이 안 와요,MG41 (수면 장애 증상),불면(잠들기 어려움) | 자주 깸 | 새벽 각성 | 과다 수면 | 수면 질 저하,"밤에 잠들기 어렵고 자주 깨요",Y,
정신·수면,SYM-25,기분·감정 이상,MB24 (기분·정서 증상),우울감 | 불안·걱정 | 무기력 | 의욕 저하 | 짜증·분노 | 집중력 저하 | 기억력 저하,"요즘 우울하고 의욕이 없어요",Y,자해·자살 사고 표현 감지 시 긴급 안내 흐름 필수 — 예외 흐름 설계
전신·일반,SYM-26,열이 나요,MG26 (발열),발열 | 오한 | 식은땀 | 열감,"열이 38도 넘게 나요",Y,체온 수치 입력 필드 고려
전신·일반,SYM-27,피곤하고 기운이 없어요,MG22 (피로·무력감),피로 | 전신 무력감 | 기운 없음 | 만성 피로,"계속 피곤하고 기운이 없어요",Y,
전신·일반,SYM-28,체중 변화,MG28 (체중 변화),체중 증가 | 체중 감소(의도적) | 체중 감소(비의도적) | 식욕 변화,"먹는 양은 그대로인데 살이 빠져요",Y,비의도적 체중 감소 — 추가 평가 권고
전신·일반,SYM-29,부종(몸이 부어요),MG29 (부종),얼굴 붓기 | 다리 붓기 | 손 붓기 | 전신 붓기 | 아침에 심함 | 저녁에 심함,"아침에 얼굴이 많이 부어요",Y,
전신·일반,SYM-30,알레르기 반응,QA42 (알레르기 반응),전신 가려움 | 두드러기 | 입술·혀 부종 | 호흡 곤란(아나필락시스) | 특정 음식·약물 반응,"약 먹고 온몸에 두드러기가 났어요",Y,아나필락시스 — 응급 안내 필수
,,,,,,,
작성 기준,,,,,,,
• 본 카테고리는 ICD-11 Chapter 21 (Symptoms, signs or clinical findings, not elsewhere classified)을 기반으로 1차 진료 환자 호소 증상을 재구성한 것임,,,,,,,
• 카테고리명은 환자가 직관적으로 선택할 수 있도록 구어체로 작성. 의학 용어는 ICD-11 참조 범위 열에 별도 표기,,,,,,,
• 하위 증상 항목은 | 구분자로 나열. 앱에서는 체크박스 또는 태그 선택형으로 구현 권장,,,,,,,
• 응급 안내가 필요한 항목(흉통, 객혈, 급성 편측 마비, 아나필락시스 등)은 예외 흐름 시트에 응급 안내 팝업 설계 필요,,,,,,,
• 정신·수면 카테고리(SYM-25)에서 자해·자살 관련 표현 감지 시 긴급 상담 안내 흐름 설계 필요,,,,,,,
• 각 카테고리는 F01 PPS01의 자유 텍스트 입력 전 1차 선택지로 사용. 카테고리 선택 후 자유 텍스트로 상세 기술하는 2단계 구조,,,,,,,
• MVP 포함 Y인 30개 카테고리로 출시. 향후 사용 데이터 분석 후 카테고리 세분화·병합 진행,,,,,,,
